Relation Type,Source,Count,Example Source,Example Target
EDUCATED_AT,WIKIDATA,63,Amy Coney Barrett,American Film Institute
OFFICER (EVP & Chief Financial Officer),SEC_FORM_4,63,BUMGARNER DAVID L,3M CO
OFFICER (Chief Medical Officer),SEC_FORM_4,61,Andrews William T.,ALUMIS INC.
DIRECTOR (Chief Financial Officer),SEC_FORM_4,59,Antony Prabhu,Aeon Acquisition I Corp.
HELD,WIKIPEDIA,59,Adrianne Todman,10th United States Secretary of Veterans Affairs
OFFICER (EVP & CFO),SEC_FORM_4,59,Allan Donald,ACCENDRA HEALTH INC/VA/
OFFICER (Chief Human Resources Officer),SEC_FORM_4,57,Adams Laura M.,"ALNYLAM PHARMACEUTICALS, INC."
OFFICER (General Counsel),SEC_FORM_4,54,Adatia Karim,"A10 Networks, Inc."
DIRECTOR (CEO and President),SEC_FORM_4,50,ASHLEMAN ERIC D,AGILENT TECHNOLOGIES INC
GOVERNOR,WIKIPEDIA,50,Andy Beshear,Alabama
OFFICER (President and CEO),SEC_FORM_4,50,Bailey David William,APPLIED MATERIALS INC /DE
CONTROLLED_BY,EPSTEIN_COMMITTEE,48,Account Numbe,Aviloop
OFFICER (EVP and CFO),SEC_FORM_4,45,Aujla Sandeep,AES CORP
OFFICER (President and COO),SEC_FORM_4,39,Baxter Nathan Eric,"AlTi Global, Inc."
FELLOW_JUSTICE,WIKIPEDIA,36,Amy Coney Barrett,Amy Coney Barrett
OFFICER (Chief People Officer),SEC_FORM_4,36,Anderson Karen M.,Adaptive Biotechnologies Corp
DIRECTOR_D,SEC_D,35,Alyssa Henry,INTEL CORP
"OFFICER (EVP, Chief Financial Officer)",SEC_FORM_4,35,Albright Craig Morrow,"APOGEE ENTERPRISES, INC."
OFFICER (Principal Accounting Officer),SEC_FORM_4,35,Ammann Marc-Andre,"AN2 Therapeutics, Inc."
EMPLOYED_BY,WIKIDATA,34,Amy Coney Barrett,America First Policies
DIRECTOR (CHIEF EXECUTIVE OFFICER),SEC_FORM_4,33,Anevski Peter,AECOM
DIRECTOR (Chairman & CEO),SEC_FORM_4,33,ALLISON JOHN W,ALBEMARLE CORP
OFFICER (CFO and Treasurer),SEC_FORM_4,33,Allorto Richard T JR,ARES CAPITAL CORP
OFFICER (Chief Information Officer),SEC_FORM_4,33,Aflatooni Robert,AMERICAN EXPRESS CO
OFFICER (Sr. Vice President),SEC_FORM_4,32,ANDERSKOUV NIELS,AGILENT TECHNOLOGIES INC
OFFICER (Chief Revenue Officer),SEC_FORM_4,31,Barbeau Michelle Marie,"ADTRAN Holdings, Inc."
HELD,WIKIDATA,30,Amy Coney Barrett,Administrator of the Small Business Administration
OFFICER (CHIEF FINANCIAL OFFICER),SEC_FORM_4,30,Asnas Brett,"AEON Biopharma, Inc."
PROVOST,WIKIPEDIA,30,Alec Gallimore,Arizona State University
PRESIDENT,WIKIPEDIA,29,Alan Garber,Brennan Center for Justice
"DIRECTOR (Chairman, President & CEO)",SEC_FORM_4,28,Aldag Edward K JR,3M CO
OFFICER (CEO),SEC_FORM_4,27,Alexander Gregory R.,ACTELIS NETWORKS INC
OFFICER (Chief Administrative Officer),SEC_FORM_4,27,Bodnar Anne Donovan,ACACIA RESEARCH CORP
OFFICER (Chief Marketing Officer),SEC_FORM_4,27,ARROYO MANUEL,AMERICAN EXPRESS CO
OFFICER (EVP & General Counsel),SEC_FORM_4,27,Beazer CraigT T,ALLSTATE CORP
OFFICER (President & CEO),SEC_FORM_4,27,Allan Donald,ARMSTRONG WORLD INDUSTRIES INC
"OFFICER (SVP, Chief Accounting Officer)",SEC_FORM_4,27,Durkee Deresa Fischer,AKAMAI TECHNOLOGIES INC
AWARD_NOMINEE,WIKIPEDIA,25,Alan Shapiro,AVN Award
"OFFICER (VP, Chief Accounting Officer)",SEC_FORM_4,25,BELISLE JOCELYN,"ALLEGRO MICROSYSTEMS, INC."
DIRECTOR (CEO & President),SEC_FORM_4,24,Cofer Timothy P.,AIM ImmunoTech Inc.
DIRECTOR (Chairman),SEC_FORM_4,24,BROWN WILLIAM E,AQUA AMERICA INC
OFFICER (Chief Scientific Officer),SEC_FORM_4,24,Bhowmick Neil,"Anebulo Pharmaceuticals, Inc."
OFFICER (SVP and CFO),SEC_FORM_4,24,Anderson Carl Douglas II,Avery Dennison Corp
OFFICER (Chief Strategy Officer),SEC_FORM_4,23,Arroyo Ian,ARROW ELECTRONICS INC
OFFICER (EVP and General Counsel),SEC_FORM_4,23,Adams Edward B JR,AES CORP
OFFICER (Secretary),SEC_FORM_4,23,DENNEEN JOHN E,ASTRONICS CORP
OFFICER (Chief Risk Officer),SEC_FORM_4,22,Anderson Katherine Ann,AMERICAN EXPRESS CO
OFFICER (SVP & Chief Accounting Officer),SEC_FORM_4,22,Borges Daniel,AES CORP
DIRECTOR (CEO and Chairman),SEC_FORM_4,21,ATAYAN CHRISTOPHER H,AMCON DISTRIBUTING CO
DIRECTOR (Co-Chief Executive Officer),SEC_FORM_4,21,Aisiku Imoigele,BLUE OWL CAPITAL INC.
OFFICER (EVP & Chief Operating Officer),SEC_FORM_4,21,Alpuche Charles,ABM INDUSTRIES INC /DE/
OFFICER (President & COO),SEC_FORM_4,21,Foley Brendan M,AMTECH SYSTEMS INC
OFFICER (SVP),SEC_FORM_4,21,Alexander Jay,CORNING INC /NY
"OFFICER (SVP, Chief Financial Officer)",SEC_FORM_4,21,Agrawal Rajesh K.,ARROW ELECTRONICS INC
DIRECTOR (Chief Operating Officer),SEC_FORM_4,20,Ahearn Matthew Fraser,"ADIAL PHARMACEUTICALS, INC."
"DIRECTOR (President, CEO)",SEC_FORM_4,20,AIR BROOK AIRPORT EXPRESS INC,AIR BROOK AIRPORT EXPRESS INC
OFFICER (Chief Investment Officer),SEC_FORM_4,20,Bauer Jonathan S.,"Abacus Global Management, Inc."
OFFICER (EVP),SEC_FORM_4,20,Anderson Bryan D,AGNC Investment Corp.
DIRECTOR (PRESIDENT AND CEO),SEC_FORM_4,19,Allexandre Chris,ARGAN INC
OFFICER (VP & Chief Accounting Officer),SEC_FORM_4,19,Coburn Brett Richard,BEAZER HOMES USA INC
"DIRECTOR (Chairman, President and CEO)",SEC_FORM_4,18,Buck Michele,AMERICAN SUPERCONDUCTOR CORP /DE/
LP_COMMITMENT,PENSION,18,CalPERS,Accel XIV
OFFICER (General Counsel and Secretary),SEC_FORM_4,18,Ball Susan E,CROSS COUNTRY HEALTHCARE INC
OFFICER (SVP & General Counsel),SEC_FORM_4,18,Braun Jeffrey N,Allegion plc
PRESIDENT_OF_THE_UNITED_STATES,WIKIDATA,18,Doom 2099,President of the United States
OFFICER (COO),SEC_FORM_4,17,Ainscow Robert,ASA Gold & Precious Metals Ltd
"OFFICER (EVP, CFO)",SEC_FORM_4,17,Bell Bernice,AGNC Investment Corp.
OFFICER (Group President),SEC_FORM_4,17,Akdamar Erol R,3M CO
OFFICER (SVP and General Counsel),SEC_FORM_4,17,BEAUDOUIN MARK T,AES CORP
OFFICER (See remarks),SEC_FORM_4,17,Andres Juan,"ACM Research, Inc."
OFFICER_D,SEC_D,17,Amy Hood,INTEL CORP
DIRECTOR (Chairman of the Board),SEC_FORM_4,16,Begley Grant A,3M CO
FOUNDER,WIKIDATA,16,Charles Koch,American Enterprise Institute
LEADER,WEBSITE_SCRAPE,16,About Stanford,Harvard University
OFFICER (Chief Product Officer),SEC_FORM_4,16,Baack Sara,8X8 INC /DE/
OFFICER (EVP & COO),SEC_FORM_4,16,AKWABOAH PETER,"CROWN HOLDINGS, INC."
OFFICER (EVP & Chief HR Officer),SEC_FORM_4,16,Bengston Diane D.,3M CO
OFFICER (EVP and COO),SEC_FORM_4,16,Baylouny John,AES CORP
"OFFICER (EVP, General Counsel)",SEC_FORM_4,16,DelPriore Robert J.,"Assertio Holdings, Inc."
OFFICER (Interim CFO),SEC_FORM_4,16,Bowen Adam,Aptera Motors Corp
"OFFICER (SVP, Human Resources)",SEC_FORM_4,16,ARNZEN APRIL S,AMGEN INC
OFFICER (Sr. Executive Vice President),SEC_FORM_4,16,Engle Bridget E.,Bank of New York Mellon Corp
DIRECTOR (Chief Technology Officer),SEC_FORM_4,15,Arkind Noam,"Aeva Technologies, Inc."
DIRECTOR (Executive Chair),SEC_FORM_4,15,BEZOS JEFFREY P,AGNC Investment Corp.
DIRECTOR (PRESIDENT & CEO),SEC_FORM_4,15,AKERS JOHN K,ATMOS ENERGY CORP
OFFICER (Chief Business Officer),SEC_FORM_4,15,Akkerman Michael,"AYTU BIOPHARMA, INC"
OFFICER (Controller),SEC_FORM_4,15,Allegri Cheryl,CHEMUNG FINANCIAL CORP
"OFFICER (EVP, Chief Legal Officer)",SEC_FORM_4,15,ALEXANDER SUSAN H,BIOGEN IDEC INC.
OFFICER (Vice President & Controller),SEC_FORM_4,15,BONNOT VINCENT P,AES CORP
DIRECTOR,IRS_990,14,CATHERINE FLOWERS,Musk Foundation
DIRECTOR (CEO and CFO),SEC_FORM_4,14,Brown Andrew Nicholas,ASPAC III Acquisition Corp.
OFFICER (Chief Compliance Officer),SEC_FORM_4,14,Araujo Ricardo Wagner de,ALLIANCE ENTERTAINMENT HOLDING CORP
"OFFICER (EVP, Chief Operating Officer)",SEC_FORM_4,14,Accogli Giuseppe,ACCENDRA HEALTH INC/VA/
OFFICER (Executive Vice President & CFO),SEC_FORM_4,14,ANGELASTRO PHILIP J,BANK OF AMERICA CORP /DE/
DIRECTOR (CEO and Director),SEC_FORM_4,13,Bissell John,Blue Gold Ltd
OFFICER (CHIEF OPERATING OFFICER),SEC_FORM_4,13,Bell Kelly Jo,"Bionano Genomics, Inc."
"OFFICER (EVP, Chief HR Officer)",SEC_FORM_4,13,Banerjee Ronita,ADVANCE AUTO PARTS INC
"DIRECTOR (Chairman, CEO and President)",SEC_FORM_4,12,BEZOS JEFFREY P,AMAZON COM INC
DIRECTOR (Executive Vice President),SEC_FORM_4,12,Bond Steve,"Awaysis Capital, Inc."
OFFICER (EVP & Chief Legal Officer),SEC_FORM_4,12,Casper Mark,3M CO
OFFICER (Executive VP and CFO),SEC_FORM_4,12,Anderson Chad,3M CO
OFFICER (SVP & CFO),SEC_FORM_4,12,Andrews Kirkland B,ARMSTRONG WORLD INDUSTRIES INC
"OFFICER (VP, Controller & CAO)",SEC_FORM_4,12,De Lorenzo Daniel,Allegion plc
OFFICER (CEO and President),SEC_FORM_4,11,Ferris Stephanie,"Autonomix Medical, Inc."
OFFICER (Chief Supply Chain Officer),SEC_FORM_4,11,Gross Mario,ARROW ELECTRONICS INC
OFFICER (President and CFO),SEC_FORM_4,11,Cvijic Christine Mikail,3M CO
OFFICER (SVP & Chief Financial Officer),SEC_FORM_4,11,Chaubal Amol,ACUITY INC. (DE)
"DIRECTOR (CEO, CFO)",SEC_FORM_4,10,BARESEL ROGER P,ARVANA INC
DIRECTOR (CFO),SEC_FORM_4,10,GOVIL SAAGAR,CEMTREX INC
OFFICER (EVP & Chief Commercial Officer),SEC_FORM_4,10,Bys Jay A.,BIOGEN INC.
"OFFICER (SVP, Chief Information Officer)",SEC_FORM_4,10,BERBERIAN LANCE,ARROW ELECTRONICS INC
OFFICER (VICE PRESIDENT),SEC_FORM_4,10,Distenfeld Gershon M,ALLIANCEBERNSTEIN GLOBAL HIGH INCOME FUND INC
OFFICER (VP & Controller),SEC_FORM_4,10,Bleicher Scott J,AES CORP
OFFICER (Vice Chairman),SEC_FORM_4,10,BENET JAY S,ALLSTATE CORP
CHANCELLOR,WIKIPEDIA,9,Brandon Creighton,Texas Tech University
DEAN,WIKIPEDIA,9,Anna Carpenter,American University Washington College of Law
DIRECTOR (Vice Chairman),SEC_FORM_4,9,BYRD VINCENT C,CATHAY GENERAL BANCORP
JUSTICE,WIKIPEDIA,9,Amy Coney Barrett,Supreme Court
OFFICER (CFO & Treasurer),SEC_FORM_4,9,BULL KENNETH R,"ALEXANDRIA REAL ESTATE EQUITIES, INC."
OFFICER (Chief Development Officer),SEC_FORM_4,9,Ai Angela,BIODESIX INC
OFFICER (EVP & CHRO),SEC_FORM_4,9,Carpenter Melanie,"Anthem, Inc."
OFFICER (EVP and Chief People Officer),SEC_FORM_4,9,ARNZEN APRIL S,BECTON DICKINSON & CO
"OFFICER (EVP, Chief Technology Officer)",SEC_FORM_4,9,BEDAPUDI PRAKASH,CVS HEALTH Corp
OFFICER (EXECUTIVE VICE PRESIDENT),SEC_FORM_4,9,AKERS JOHN K,ABBOTT LABORATORIES
OFFICER (General Counsel & Secretary),SEC_FORM_4,9,Cheng Jordan,"Babcock & Wilcox Enterprises, Inc."
"OFFICER (SVP, Chief HR Officer)",SEC_FORM_4,9,Cabrera Raymond D.,CALERES INC
"OFFICER (SVP, Chief Legal Officer)",SEC_FORM_4,9,Boyden Rebecca Berenice,ABEONA THERAPEUTICS INC.
OFFICER (Treasurer),SEC_FORM_4,9,Andrews Brian G,COOPER COMPANIES INC
"OFFICER (VP, Human Resources)",SEC_FORM_4,9,Agen Brian Jon,FIRSTENERGY CORP
TRUMP_CABINET,WIKIPEDIA,9,Chad Wolf,US Cabinet (Trump)
DIRECTOR (CEO & Chairman),SEC_FORM_4,8,ACKMAN WILLIAM A,Biofrontera Inc.
DIRECTOR (President/CEO),SEC_FORM_4,8,BEDU-ADDO FRANK,"Aprea Therapeutics, Inc."
DIRECTOR (Secretary),SEC_FORM_4,8,Denos Kenneth I,Amersin Life Sciences CORP
OFFICER (CAO),SEC_FORM_4,8,Carlsen Elyse,ALBANY INTERNATIONAL CORP /DE/
OFFICER (CEO & President),SEC_FORM_4,8,Clark William Anthony,AIM ImmunoTech Inc.
OFFICER (Chief Operations Officer),SEC_FORM_4,8,BUCKELEW ALAN,"Affinity Bancshares, Inc."
OFFICER (EVP & Chief Accounting Officer),SEC_FORM_4,8,CRANDELL MITCHELL L,AMC Networks Inc.
"OFFICER (EVP, CFO and Treasurer)",SEC_FORM_4,8,BRADLEY WILLIAM PATRICK III,Cohen & Co Inc.
"OFFICER (EVP, Chief Commercial Officer)",SEC_FORM_4,8,Althoff Judson,BRISTOL MYERS SQUIBB CO
"OFFICER (EVP, Chief Marketing Officer)",SEC_FORM_4,8,Capossela Christopher C,AKAMAI TECHNOLOGIES INC
"OFFICER (EVP, Human Resources)",SEC_FORM_4,8,Cmil Jennifer,AMPHENOL CORP /DE/
OFFICER (Executive Vice President & COO),SEC_FORM_4,8,CRAFT JASON,CINTAS CORP
OFFICER (PRESIDENT),SEC_FORM_4,8,DAVIS RONALD,AECOM
OFFICER (SEE REMARKS),SEC_FORM_4,8,Chi Lisa,Amplify Energy Corp.
"OFFICER (SVP, Chief People Officer)",SEC_FORM_4,8,ARNZEN APRIL S,CONSUMERS BANCORP INC /OH/
"OFFICER (SVP, General Counsel)",SEC_FORM_4,8,Asch Andrew Eric,ENCORE CAPITAL GROUP INC
"OFFICER (Sr. VP, Operations)",SEC_FORM_4,8,Durham Jeffrey Wayne,RELIANCE STEEL & ALUMINUM CO
OFFICER (Vice President and Treasurer),SEC_FORM_4,8,Gillard Patrick,AMPHENOL CORP /DE/
CEO,WIKIPEDIA,7,Adena Friedman,BFI Canada Income Fund
DIRECTOR,,7,Kravetz Shawn W,"AstroNova, Inc."
DIRECTOR,WIKIDATA,7,Ahmed Alwani,Brookings Institution
DIRECTOR (CEO and Chairman of the Board),SEC_FORM_4,7,Mallozzi Andrew Emilio,ACP Holdings Acquisition Corp.
"DIRECTOR (CEO, President)",SEC_FORM_4,7,CHADWICK ROBERT E,"CARLSMED, INC."
DIRECTOR (COO),SEC_FORM_4,7,Brown Jamie Lee,Cannaisseur Group Inc.
DIRECTOR (EXECUTIVE CHAIRMAN),SEC_FORM_4,7,Chen John Shu-Nan,AMETEK INC/
DIRECTOR (Interim CEO),SEC_FORM_4,7,HSIAO JANE PH D,AC Immune SA
DIRECTOR (President and COO),SEC_FORM_4,7,DeCaprio David,ACME UNITED CORP
OFFICER (CFO & COO),SEC_FORM_4,7,Jedda Dan,CARTERS INC
OFFICER (CHIEF ACCOUNTING OFFICER),SEC_FORM_4,7,Brooks Jeremy,CITIGROUP INC
OFFICER (CHIEF EXECUTIVE OFFICER),SEC_FORM_4,7,BLAIR PATRICK T,Genie Energy Ltd.
OFFICER (Chief Customer Officer),SEC_FORM_4,7,Gaines Scott,APPIAN CORP
OFFICER (EVP & CHIEF FINANCIAL OFFICER),SEC_FORM_4,7,Glover Haji,Consolidated Water Co. Ltd.
OFFICER (EVP & Chief Strategy Officer),SEC_FORM_4,7,Barron Kathleen,ABM INDUSTRIES INC /DE/
OFFICER (EVP - Chief Financial Officer),SEC_FORM_4,7,Andrews Kirkland B,CBL & ASSOCIATES PROPERTIES INC
OFFICER (EVP and Chief Legal Officer),SEC_FORM_4,7,Lau Michele,"CISCO SYSTEMS, INC."
"OFFICER (EVP, CFO & Treasurer)",SEC_FORM_4,7,ADEN ALLISON,"Atlanta Braves Holdings, Inc."
"OFFICER (EVP, CHRO)",SEC_FORM_4,7,Drake Sloane N,ASSOCIATED BANC-CORP
"OFFICER (EVP, GC & Secretary)",SEC_FORM_4,7,Bonner Lance T,"Alpha Metallurgical Resources, Inc."
"OFFICER (EVP, Operations)",SEC_FORM_4,7,Al Mogharbel Khaled,AMGEN INC
OFFICER (Managing Corporate Executive),SEC_FORM_4,7,Kamioka Tomoyuki,MITSUBISHI UFJ FINANCIAL GROUP INC
OFFICER (SVP & CHRO),SEC_FORM_4,7,Berman Melanie B.,Allegion plc
OFFICER (SVP & Controller),SEC_FORM_4,7,Bauer Matthew N,COCA COLA CO
"OFFICER (SVP, GC and Secretary)",SEC_FORM_4,7,Atkins Damien,AGILYSYS INC
OFFICER (VP and Controller),SEC_FORM_4,7,Brzezinski Erin M,AES CORP
OFFICER (Vice President and Controller),SEC_FORM_4,7,Forsythe Christopher T,ATMOS ENERGY CORP
DIRECTOR (CEO & CFO),SEC_FORM_4,6,BOTHWELL IAN T,Energous Corp
DIRECTOR (Chair and CEO),SEC_FORM_4,6,Bamford Lynn M,BANK OF AMERICA CORP /DE/
DIRECTOR (Chairman of the Board and CEO),SEC_FORM_4,6,JENKINS DAVID A,"Catheter Precision, Inc."
DIRECTOR (Chief Strategy Officer),SEC_FORM_4,6,Blecharczyk Nathan,"Airbnb, Inc."
OFFICER (Area President),SEC_FORM_4,6,BEIRNE PATRICK,PULTEGROUP INC/MI/
OFFICER (CHIEF LEGAL OFFICER),SEC_FORM_4,6,DAMATO NICOLE,EchoStar CORP
OFFICER (Chief Growth Officer),SEC_FORM_4,6,Gehring Rob L.,"Amentum Holdings, Inc."
OFFICER (Chief Innovation Officer),SEC_FORM_4,6,Ajami Dariush,"BEYOND MEAT, INC."
OFFICER (EVP and CHRO),SEC_FORM_4,6,Galloway Elizabeth A,BRINKS CO
"OFFICER (EVP, Chief People Officer)",SEC_FORM_4,6,ARNZEN APRIL S,Hewlett Packard Enterprise Co
"OFFICER (EVP, General Counsel & Sec.)",SEC_FORM_4,6,FISCHER MARK D,ALLSTATE CORP
OFFICER (Executive Officer),SEC_FORM_4,6,Day Monica A,EXXON MOBIL CORP
OFFICER (Executive VP & CFO),SEC_FORM_4,6,Gabriel Marcos Mendes,AQUA AMERICA INC
OFFICER (GENERAL COUNSEL),SEC_FORM_4,6,CRAIN CHRISTOPHER M,Amcor plc
"OFFICER (President, International)",SEC_FORM_4,6,DUNAWAY BARRY C,AMERICOLD REALTY TRUST
"OFFICER (SVP, CFO & Treasurer)",SEC_FORM_4,6,Andrews Brian G,AMERICAN SUPERCONDUCTOR CORP /DE/
"OFFICER (SVP, CHRO)",SEC_FORM_4,6,Beneteau Lesley,HERSHEY CO
"OFFICER (SVP, Chief Commercial Officer)",SEC_FORM_4,6,Bergwall Timothy,ACCURAY INC
"OFFICER (SVP, Chief Technology Officer)",SEC_FORM_4,6,Abraham Silji,EBAY INC
"OFFICER (SVP, Controller & CAO)",SEC_FORM_4,6,Cardin Robert J,Baker Hughes Co
"OFFICER (SVP, Gen Counsel & Secretary)",SEC_FORM_4,6,COOK STEVEN M,3M CO
OFFICER (Senior Managing Director),SEC_FORM_4,6,Cohen Stephen,"BlackRock, Inc."
OFFICER (Senior VP and CFO),SEC_FORM_4,6,Butier Mitchell R,3M CO
OFFICER (Senior Vice President and CFO),SEC_FORM_4,6,Allman Joseph,"AGILENT TECHNOLOGIES, INC."
OFFICER (Sr Vice President),SEC_FORM_4,6,Ancher-Jensen Henrik,3M CO
OFFICER (VP & CFO),SEC_FORM_4,6,FOGARTY PATRICK W,CINTAS CORP
OFFICER (VP & Chief Financial Officer),SEC_FORM_4,6,BONNER EIMEAR P,ARTHUR J. GALLAGHER & CO.
OFFICER (VP and CFO),SEC_FORM_4,6,Beecher Gregory R,"BROADWIND, INC."
"OFFICER (VP, Controller and CAO)",SEC_FORM_4,6,Bondar Lori J,Avery Dennison Corp
BIDEN_CABINET,WIKIPEDIA,5,Cecilia Rouse,US Cabinet (Biden)
BOARD MEMBER,IRS_990,5,ASHISH DHAWAN,Gates Foundation
CURRENT_CABINET,WIKIPEDIA,5,Andrew Ferguson,US Cabinet (Current)
DIRECTOR,SEC,5,Al Gore,ALPHABET INC
DIRECTOR (CHAIRMAN & CEO),SEC_FORM_4,5,CONNORS MICHAEL P,Information Services Group Inc.
"DIRECTOR (Chairman, CEO & President)",SEC_FORM_4,5,Davis Robert M,ANNALY CAPITAL MANAGEMENT INC
DIRECTOR (PRESIDENT),SEC_FORM_4,5,BROWN RONALD,GOLD ENTERTAINMENT GROUP INC
EMPLOYER,SEC_BIO,5,Jensen Huang,AMD
OFFICER (CHIEF COMMERCIAL OFFICER),SEC_FORM_4,5,Crook Jody D.,AMETEK INC/
OFFICER (Chairman & CEO),SEC_FORM_4,5,"Beard, Stephen W.",3M CO
OFFICER (Chief Credit Officer),SEC_FORM_4,5,Cobain Stephen,"CB Financial Services, Inc."
"OFFICER (Chief Legal Officer, Secretary)",SEC_FORM_4,5,EBERTS F SAMUEL III,"BEYOND MEAT, INC."
OFFICER (Co-President),SEC_FORM_4,5,Athanasia Dean C,Ares Management Corp
OFFICER (EVP & CCO),SEC_FORM_4,5,Boone Kevin S.,CSX CORP
OFFICER (EVP & CTO),SEC_FORM_4,5,Gehring Dean,NEWMONT Corp /DE/
OFFICER (EVP & Chief People Officer),SEC_FORM_4,5,Ausband Allison C,Aptiv PLC
"OFFICER (EVP, CIO & CTO)",SEC_FORM_4,5,Avila Nancy,LABCORP HOLDINGS INC.
OFFICER (Executive VP),SEC_FORM_4,5,Callans Patrick J,AUTOMATIC DATA PROCESSING INC
