EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
043328623,TRIGLAV CIRCLE,% BARBARA BAUDOT,OUGNY 58110,FRANCE,,00000-0000,0000,03,3,2000,199905,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,V05,
043575007,PENTECOSTAL MOVEMENT COUNCIL INC,% GENARO TORRES,PO BOX 6193,ST CROIX,VI,00823-6193,0000,03,3,7000,200510,1,10,000000000,1,01,,0,0,06,0,05,,,,X20,
043700254,IGLESIA EVANGELICA MISIONERA FUERZA AGAPE,% ROBERT RANSOM,PO BOX 580,SAN ANTONIO,PR,00690-0580,2046,03,9,7000,196911,1,10,001000000,5,01,,0,0,06,0,12,,,,,
043720924,GLOBAL EQUIP MINISTRIES,% PAUL PERRY,BELO HORIZONTE MG 30331-970,BRAZIL,,00000-0000,1894,03,9,7000,196709,1,10,029000000,5,01,,0,0,06,0,12,,,,,
043778039,MACEDONIA COMMUNITY ACTION PROJECT,% FAYE MORRIS,BONNEAU SC 29431,ARMENIA,,00000-0000,0000,03,3,1000,200706,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,M60,
060602997,TITI MILLIE DAY CARE INC,,PO BOX 1347,GUANICA,PR,00653-1347,0000,03,3,1000,200206,1,15,000000000,1,01,202509,4,5,01,0,09,312816,658393,658393,P33,
060706038,BERMUDA INSTITUTE OF OCEAN SCIENCES BIOS INC,,ST GEORGES ST GEORGES GE01,BERMUDA,,00000-0000,0000,03,3,8000,194710,1,16,161180000,1,01,202412,8,8,01,0,12,42851737,17945200,16851664,U50Z,
061291614,NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,% FACILITY REPRESENTATIVE,1 JOHN BREWERS BAY,ST THOMAS,VI,00802-6003,3254,05,9,3000,199002,0,00,263000000,0,01,202512,0,0,02,0,12,0,0,0,,NATCA LOCAL STT
061497455,HODGMAN FAMILY FOUNDATION TR,% THOMAS F HODGMAN,VALAISE CH-1965,SWITZERLAND,,00000-0000,0000,03,3,1000,199712,1,04,602000000,2,01,202512,4,4,00,1,12,271456,482815,,T22Z,WILLIAM & THOMAS F HODGMAN JR TTEES
061680846,GEORGIAS WORKFORCE LEADERSHIP ASSOCIATION,,ATHENS GA 30605,GEORGIA,,00000-0000,0000,03,3,1000,200601,1,15,000000000,1,01,202506,0,0,02,0,06,0,0,0,B60,
061700976,SEED OF LIFE WORLD MINISTRIES,% HELEN SPENCER,CEB-KU ATTN AMC-ITT/FWD,APO,AE,09366-0000,0000,03,3,7000,200506,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
061782395,IGLESIA PENTECOSTAL CRISTO CUENTA CONTIGO INC,% JOSE VELAZQUEZ,PO BOX 10012,HUMACAO,PR,00792-1012,0000,03,3,7000,202405,1,10,000000000,1,01,202512,0,0,06,0,12,0,0,0,X20,
061807560,ORDER OF ST JOHN INC,,PO BOX 1463,FREDERIKSTED,VI,00841-1463,0000,03,3,1000,201407,1,15,000000000,1,01,202412,2,3,02,0,12,12285,25852,25852,Z99,
066037010,AMERICAN ACADEMY OF INSURANCE MEDICINE,% AAIM,OTTAWA ON K2E 8A5,CANADA,,00000-0000,0000,06,3,1000,194406,2,00,205000000,5,01,202412,5,5,01,0,12,846388,653949,452522,,
066039988,WIEGAND MEMORIAL FOUNDATION INC,% CHRISTOPHER WIEGAND,MONTREAL QC H4A 2Z6,CANADA,,00000-0000,0000,03,3,1000,195711,4,04,161180059,1,01,202312,5,4,00,1,12,863737,119329,,,
066098211,SUPREME EMBLEM CLUB OF THE UNITED STATES OF AMERICA INC,% ERICKSON,WEST HAVEN CT 06516,AFGHANISTAN,,00000-0000,1065,04,9,3000,196701,2,00,602160040,5,01,202506,0,0,02,0,06,0,0,0,,WEST HAVEN 45
112518719,LENNIE TRISTANO JAZZ FOUNDATION INC,% CAROL TRISTANO,ARCUEIL ILE DE FRANCE 94110,FRANCE,,00000-0000,0000,03,3,3000,198809,1,16,090000000,1,01,202512,0,0,02,0,12,0,0,0,,
113242441,THE JOSEPH KATZ AND SHIRELY KATZ CHARITABLE TRUST,% MELTZER LIPPE,EFRAT ISRAEL 90435,IRAN,,00000-0000,0000,03,3,1000,199602,1,04,602000000,2,01,202411,5,3,00,1,11,666041,31496,,T20J,
113371873,ESH-DAT INC,% SILBER,JERUSALEM 91342,ISRAEL,,00000-0000,0000,03,3,1270,202209,1,15,994602029,1,01,202412,2,3,02,0,12,21667,27618,27618,X30,
113579283,MARIE AND PAUL NAPOLI FOUNDATION,% MARIE ELIZABETH KAISER NAPOLI,200 DORADO BEACH DRIVE 3812,DORADO,PR,00646-0000,0000,03,3,1000,200102,1,04,000000000,1,01,202412,3,4,00,1,12,65700,317993,,T20,
113789744,SEMINOLE FOOTBALL PARENT ASSOCIATION,% FRANK A SALVAGE,CHICAGO 60646,ASHMORE & CARTIER IS,,00000-0000,0000,03,3,1000,201906,1,16,995321000,1,01,202512,0,0,02,0,12,0,0,0,N65,
122680572,CANADIAN UNICEF COMMITTEE-COMITE UNICEF CANADA,% CANADIAN UNICEF COMMITTEE,TORONTO ONTARIO M4P2Y3,CANADA,,00000-0000,0000,03,3,1000,200501,4,15,000000000,1,01,202412,8,9,01,0,12,16386741,61510262,61510262,Q42,
132556216,UPPER CANADA EDUCATIONAL FOUNDATION,% PATTI MACNICOL,TORONTO ONTARIO M4V1W6,CANADA,,00000-0000,0000,03,3,1200,196808,4,16,059602040,1,01,202506,2,5,01,0,06,21561,808959,808959,,
133085180,ROYAL SHAKESPEARE,,WARWICKSHIRE CV37 6BB,UNITED KINGDOM,,00000-0000,0000,03,3,1200,198110,2,15,123090094,1,01,202503,9,9,01,0,03,216659130,104260892,104260892,A650,
133211128,WORLD FEDERATION OF SOCIETIES OF ANAESTHESIOLOGISTS,% MICHAEL ROSEN TREASURER,LONDON N7 9DP,UNITED KINGDOM,,00000-0000,0000,03,3,1000,198503,1,15,162000000,5,01,202512,6,6,01,0,12,2401346,2331792,1808235,G91Z,
133537034,STUTTGART VETERANS OF FOREIGN WARS POST 10810,% WAYNE J HOLDER,PSC 480 BOX GD,APO,AE,09128-0000,0000,19,3,1000,201703,1,00,000000000,5,01,202506,0,0,02,0,06,0,0,0,W30,POST 10810
133582797,AMERICAN FRIENDS OF KRYAT MELECH,% BEN ZION DAVIDOVITZ,MONSEY NY 10952,ISRAEL,,00000-0000,0000,03,3,1000,199101,1,15,029000000,1,01,202412,0,0,02,0,12,0,0,0,X99Z,
133617417,TOASTMASTERS INTERNATIONAL,% NICHIBEI TOASTMASTERS CLUB,SHIBUYA KU 150-0,JAPAN,,00000-0000,0820,03,9,2000,194505,0,16,059319000,5,01,202512,0,0,02,0,12,0,0,0,,6394 NICHIBEI TOASTMASTERS CLUB
133785442,GREAT PACIFIC FOUNDATION,% JIM PATTISON GROUP,VANCOUVER BC V6C 1C7,CANADA,,00000-0000,0000,03,3,1000,199501,4,04,602000000,1,01,202512,8,7,00,1,12,29091844,7133980,,Z99Z,
133787075,US-CUBA TRADE AND ECONOMIC COUNCIL INC,% JOHN S KAVULICH,CHEEKTOWAGA NEW YORK 14225,AFGHANISTAN,,00000-0000,0000,06,3,1000,199505,2,00,229000000,1,01,202507,0,0,02,0,07,0,0,0,,
133801234,MULE FAMILY FOUNDATION,% MULE FAMILY FOUNDATION,200 DORADO BEACH DRIVE RES 3431,DORADO,PR,00646-0000,0000,03,3,1000,199608,1,04,602000000,2,01,202508,8,6,00,1,08,31243807,3662681,,T99Z,
133823577,AMERICAN FRIENDS OF ENGLISH NATIONAL OPERA INC,% PETER KOHL,LONDON NW3 1SU,UNITED KINGDOM,,00000-0000,0000,03,1,1000,200811,1,15,994602000,1,01,202412,4,4,01,0,12,205333,239638,239638,A116,
133824844,KEREN TEFERT YAACOV,% DAVID GARBER,JERUSALEM 91430,ISRAEL,,00000-0000,0000,03,3,1000,199512,1,04,994029602,1,01,202504,3,1,00,1,04,75743,1121,,T30J,
133932623,OBEROI FAMILY FOUNDATION,% C/O EY US LLP,LOCAL,UNITED KINGDOM,,00000-0000,0000,03,3,1000,199803,1,04,602000000,2,01,202505,6,4,00,1,05,2265347,406928,,T22Z,
133989532,GARY WILLIAMS FOUNDATION,% CUMBERLAND HOUSE,POOLE DORSET BH15 2QS,UNITED KINGDOM,,00000-0000,0000,03,3,1000,199807,2,04,602000000,2,01,202501,6,3,00,1,01,1210009,58364,,T20Z,
134028661,REDRESS TRUST LIMITED,% WHITE & CASE LLP,LONDON LONDON SE1 0QR,UNITED KINGDOM,,00000-0000,0000,03,3,1200,202410,1,15,000000000,1,01,202503,3,4,01,0,03,88606,200000,200000,Q70,
134038907,CIEE INC,% LORI SANDS,6471 AVE ISLA VERDE APT 909,CAROLINA,PR,00979-7121,0000,03,3,2000,199904,1,16,000000000,1,01,202508,9,9,01,0,08,207090335,218142320,218141529,Q22,COUNCIL INTERNATIONAL STUDY PROGRAM
134045482,INTERNATIONAL PEDIATRIC TRANSPLANT ASSOCIATION INC,% THE TRANSPLANTATION SOCIETY,MONTREAL QUEBEC H3C 3X6,CANADA,,00000-0000,0000,03,3,1000,199905,1,15,000000000,1,01,202412,6,4,01,0,12,2201218,471615,245122,Q300,
134079395,LOZOWICK FAMILY FOUNDATION INC,% LOEB & LOEB LLP,JERUSALEM 93550,IRAN,,00000-0000,0000,03,3,1000,200011,4,04,000000000,1,01,202512,4,4,00,1,12,226334,225828,,T22,
134082426,NACHALAT YISROEL FOUNDATION,% DAVID GARBER,JERUSALEM 91430,ISRAEL,,00000-0000,0000,03,3,1000,200012,1,15,000000000,1,01,202508,0,0,02,0,08,0,0,0,X20,
134088704,DB FOUNDATION,% RICHARD BRONKS,HAMPSHIRE HAMPSHIRE RG25 3AQ,UNITED KINGDOM,,00000-0000,0000,03,3,1000,200102,2,04,000000000,1,01,202510,5,2,00,1,10,776039,13424,,T22,
134103202,M OKADA FOUNDATION OF AMERICA,% KAZUKO KANO,SAITAMA SAITAMA 336-0021,JAPAN,,00000-0000,0000,03,3,8000,200008,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,H40,
134203820,JOINT ISRAEL,% BINYAMIN CHERNOFSKY,JERUSALEM 91034,ISRAEL,,00000-0000,0000,03,3,1000,200211,2,15,000000000,1,01,202412,9,9,01,0,12,104955000,111513000,111513000,Q30,
136163055,FRIENDS OF MCMASTER INCORPORATED,% HELEN CHEN,HAMILTON ONTARIO L8S 4L8,CANADA,,00000-0000,0000,03,3,1000,198809,4,17,602000000,1,01,202412,2,6,01,0,12,20193,4622725,4622725,,
136271584,FRED & SUZAN EHRMAN FOUNDATION,,RAANANA 43524,IRAN,,00000-0000,0000,03,3,1000,196804,1,04,602000000,1,01,202512,6,6,00,1,12,4543518,3841234,,,
136620923,UNIVERSITY OF WESTERN ONTARIO FOUNDATION INC,% FINANCIAL SERVICES DEPARTMENT,LONDON ONTARIO N6A 3K7,CANADA,,00000-0000,0000,03,3,2000,196104,1,15,000000000,1,01,202504,2,5,01,0,04,14290,505803,505803,,
137030069,LEWART FAM CHARITABLE TR,% LEE ANN SANDLER,CAESAREA 38900,ISRAEL,,00000-0000,0000,03,3,1000,199412,1,04,602000000,2,01,202511,6,6,00,1,11,3811607,2316832,,,LEWART ELEANOR ET AL TTEE
137119948,THE EDUCATION RENAISSANCE TRUST,% GORMAN DARBY & CO,LONDON W14 8SH,UNITED KINGDOM,,00000-0000,0000,03,3,1000,199804,2,04,119000000,2,01,202503,4,4,00,1,03,332009,122691,,T20Z,BODDY DAVID ET AL TTEE
137265426,LOMDIM TR,% YIGAL GROSS,JERUSALEM ISRAEL 91344,ISRAEL,,00000-0000,0000,03,3,1000,200201,4,15,000000000,1,01,202604,0,0,02,0,04,0,0,0,T20,GROSS YIGAL TTEE
141782056,AMERICAN FRIENDS OF THE JEWISH BIBLE ASSOCIATION INC,% JOSHUA BACKON,JERUSALEM JERUSALEM 9129001,ISRAEL,,00000-0000,0000,03,3,1000,199509,4,15,994602000,1,01,202512,0,0,02,0,12,0,0,0,X99Z,
141807509,CIAR ASSOCIATION INC,% CANADIAN INSTITUTE FOR ADVANCED R,TORONTO ONTARIO M5G 1M1,CANADA,,00000-0000,0000,03,3,1000,199809,4,15,994602000,1,01,202603,0,0,02,0,03,0,0,0,Z99,
141857764,SOUTHERN SHRIMP ALLIANCE INC,% SALVATORE J VERSAGGI,NEW PORT RICHEY,ANGOLA,,00000-0000,0000,06,3,2000,200308,2,00,000000000,1,01,202512,8,5,01,0,12,10522189,664734,664734,S41,
141965395,GIVE CHILDREN A CHANCE,% JARROD WILLIAM GOSY,CMR 414 BOX 2247,APO,AE,09173-0000,3317,03,9,7000,199112,2,10,001000000,1,01,,0,0,06,0,06,,,,,
141980939,EAGLE EYE EVANGELISTIC ENTERPRISES INC,% ANTHONY MOLINA,SAN RAMON ALAJUELA 20201,COSTA RICA,,00000-0000,0000,03,3,1700,201504,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,X20,
161319746,DANSVILLE AREA HISTORICAL SOCIETY,% ALBERT HAWK,DANSVILLE 14437,AFGHANISTAN,,00000-0000,0000,03,3,2000,201607,1,15,060000000,1,01,202512,0,0,02,0,12,0,0,0,A80,
161388348,AMERICAN FEDERATION OF TEACHERS,% KAREN WEBB-PRESIDENT,WINDSOR NEW YORK 13865,AFGHANISTAN,,00000-0000,0787,05,9,3000,196711,2,00,263264279,5,01,202506,0,0,02,0,06,0,0,0,,3807 WINDSOR OFFICE PRSNL & SCHL
161597741,PAUL HOY MINISTRIES,% REV PAUL A HOY,OAKVILLE ONT L6H 7G5,CANADA,,00000-0000,1621,03,9,7000,196402,0,10,001000000,5,01,,0,0,06,0,12,,,,,
161645986,INTERNATIONAL SOCIETY FOR PHOTOGRAMMETRY & REMOTE SENSING,,HANNOVER 30167,GERMANY,,00000-0000,0000,03,3,1000,200305,1,16,000000000,1,01,202412,6,4,01,0,12,1200071,364234,364234,B90,
161655556,ZERO TOLERANCE BASKETBALL ORGANIZATION INC,% BOYD TODMAN,OSWALD HARRIS COURT BLDG 38 APT 285,ST THOMAS,VI,00802-0000,0000,03,3,1200,201408,1,15,000000000,1,01,202412,1,3,02,0,12,5745,37100,37100,N63,
161701355,RESONANCE PROJECT FOUNDATION,% NASSIM HARAMEIN,CALUSES CEDEX 74301,FRANCE,,00000-0000,0000,03,3,1000,200605,1,16,000000000,1,01,202412,3,2,02,0,12,86000,13331,13331,,
200072423,MINISTERIO VIDA ABUNTANTE-ABUNDANT LIFE MINISTRY-INC,% DARTHA RAE RIVERA,C1 CALLE MIOSOTIS-JARD DEL CARIBE,MAYAGUEZ,PR,00682-0000,0000,03,3,1270,200406,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,X20,
200105601,JERUSALEM INSTITUTE FOR MARKET STUDIES INC,% ROBERT MARK SAUER,TEL AVIV,ISRAEL,,00000-0000,0000,03,3,2000,200312,4,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,Q30,
200443576,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% CHAPTER ADMINISTRATOR,OTTAWA ONTARIO K1Z 7S8,CANADA,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,01,0,06,,,,,OTTAWA CHAPTER
200443614,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% CHAPTER ADMINISTRATOR,"VANCOUVER,BC,V6A 4G2",CANADA,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,01,0,06,,,,,BRITISH COLUMBIA CHAPTER
200443640,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% CHAPTER PRESIDENT,"REGINA,SK,54P 3B8",CANADA,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,01,0,06,,,,,REGINA CHAPTER
200644142,STRATEGIC SOLUTIONS NETWORK INC,% SANA JOSEPH,1013 ESTATE WHIM,FREDERIKSTED,VI,00840-3752,0000,03,3,1000,201511,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,P20,
200835061,FRIENDS OF JOURNALISTS FOR HUMAN RIGHTS INC,% ALEXANDRA SICOTTE - LEVESQUE,TORONTO ON M5V 3A8,CANADA,,00000-0000,0000,03,3,1000,200411,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,R63,
201096061,KAMIEN FAMILY FOUNDATION,% ANITA KAMIEN,LOCAL,ISRAEL,,00000-0000,0000,03,3,1000,200603,1,04,000000000,1,01,202512,3,1,00,1,12,46916,1886,,B99,
201430313,AMERICAN FRIENDS OF THE FRANCO AMERICAN INSTITUTE INC,% MICHAEL LAVEAN,ROMILLE BRITTANY 35850,FRANCE,,00000-0000,0000,03,3,1200,200501,1,17,000000000,1,01,202412,4,3,02,0,12,138589,47931,7840,B11,
201445557,HUANGGANG HIGH SCHOOL OVERSEAS,% YINGCHUN DAI,CALGARY ALBERTA T2X 0E2,CANADA,,00000-0000,0000,03,3,1000,201203,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,B84,
201567425,IMAGINE GLOBAL INCORPORATED,% ABE CARMELI OREN FUERST,HERZLIYA,ISRAEL,,00000-0000,0000,03,3,1200,200509,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,H05,
201653634,SANABEL MICROFINANCE OF THE ARAB COUNTRIES INC,,NEW CAIRO 11853,EGYPT,,00000-0000,0000,03,3,1000,200601,2,15,000000000,1,01,202406,4,4,01,0,06,482875,346026,346026,Q32,
201654549,TEXAS 4-H,% DEBORAH MOORE,KYLE TX 78640,AFGHANISTAN,,00000-0000,5932,03,9,1200,201111,1,15,000000000,5,01,202508,0,0,02,0,08,0,0,0,,KYLE 4-H CLUB
201880890,OSSIES FAIR HOUSING AND HOMECARE INC,% DIANA L BROWN,ALBANY 31721,GEORGIA,,00000-0000,0000,03,3,1000,202407,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,L80,
201897309,INSTITUTE ARTES LIBERALES FOUNDATION,% JULIE J KIDD,WARSAW 00-378,POLAND,,00000-0000,0000,03,3,2000,200610,2,11,000000000,1,01,202412,4,4,01,0,12,219158,313570,313570,B42,
202032957,OLD ROAD FUND INC,% R BRAXTON HILL III,ST JOHNS ANTIGUA 00000-0000,ANTIGUA & BARBUDA,,00000-0000,0000,03,3,1200,200503,1,15,000000000,1,01,202412,4,4,01,0,12,352887,255574,255574,P20,
202318102,MESHI EARLY CHILDHOOD DEVELOPMENT CENTER,,JERUSALEM MIDDLE EAST 97253,ISRAEL,,00000-0000,0000,03,3,1000,200306,2,11,000000000,1,01,202412,7,8,01,0,12,5496648,13186093,13186093,B28,
202866021,SOCIETY FOR NEUROECONOMICS INC,% PODIUM SPECS,VICTORIA BRITISH COLUMBIA V8N 1X6,CANADA,,00000-0000,0000,03,3,2000,200509,1,16,000000000,1,01,202512,4,4,01,0,12,317595,222963,222963,V22,
202956696,GUSENGHWE INC,% RICHARD CHANG,330 WESTERN BLVD APT 1014,TAMUNING,GU,96913-5124,0000,03,3,1200,200707,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,T20,
203193115,AMERICAN FRIENDS OF UHN INC,% HORACE POLLACK CFO,TORONTO ONTARIO M5G 2C4,CANADA,,00000-0000,0000,03,3,1000,200511,4,15,000000000,1,01,202503,3,6,01,0,03,69590,1247410,1247410,E112,
203234211,TOASTMASTERS INTERNATIONAL,% CTS CLUB,VANCOUVER BRITISH COLUMBIA V5Z 2,CANADA,,00000-0000,0820,03,9,2000,194505,1,16,059319000,1,01,202512,0,0,02,0,12,0,0,0,,798351 CTS CLUB
203317540,INTERNATIONAL SCHOOL PSYCHOLOGY ASSOCIATION INC,% DR ROBERT D CLARK,EGKOMI 1095,CYPRUS,,00000-0000,0000,03,3,2100,200605,1,16,000000000,1,01,202412,4,3,01,0,12,484674,80591,80591,V23,
203825842,SEASTAR SERVICES INC,% DEBORAH FINLEY JACKSON,9160 ESTATE THOMAS,ST THOMAS,VI,00802-3641,0000,03,3,1000,201209,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,P20,
203868031,TOASTMASTERS INTERNATIONAL,% SOUTH COUNTY PRESENTERS,SINGAPORE 79347,SINGAPORE,,00000-0000,0820,03,9,2000,194505,1,16,059319000,5,01,202512,0,0,02,0,12,0,0,0,N500,834852 SOUTH COUNTY PRESENTERS
203925212,ISAIAH 61 INTERNATIONAL INC,% MELODY L FIREBAUGH,QUITO PICHINCHA,ECUADOR,,00000-0000,0000,03,3,1700,200611,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,P32,
204416398,HADDEN FAMILY FOUNDATION,% PAT HADDEN,BURLINGTON ONTARIO L7L 0G5,CANADA,,00000-0000,0000,03,3,1000,200610,4,04,000000000,1,01,202512,5,4,00,1,12,764259,354223,,T22,
204733601,AMERICAN FRIENDS OF THE ART GALLERY OF ONTARIO INC,% KATE HALPENNY,TORONTO ON M5T 1G4,CANADA,,00000-0000,0000,03,3,1000,200612,4,15,000000000,1,01,202512,3,4,01,0,12,47548,403049,403049,A11,
204792577,INTERNATIONAL FEDERATION FOR PROFESSIONAL SPEAKERS INC,,TORONTO ONTARIO M3B 3N7,CANADA,,00000-0000,0000,06,3,2000,200706,2,00,000000000,1,01,202412,4,4,01,0,12,202284,105651,104630,S41,
204859523,MARIANAS RACING ASSOCIATION,% DAVID J BURGER,PO BOX 504053,SAIPAN,MP,96950-4053,0000,03,3,1200,202209,1,15,000000000,1,01,202412,2,3,02,0,12,16591,37473,37473,N70,
205238137,RENAISSANCE COALITION,% RANDALL R BRENNAN,"MBABANE,ESWATINI,H100",SOUTH AFRICA,,00000-0000,8029,03,9,7000,198208,1,10,000000000,5,01,,0,0,06,0,12,,,,,MISSIONS IN AFRICA INC
205478637,BOBS AND CROW LAKES FOUNDATION,% ALEXANDER CAMERON,VERONA ONTARIO K0H 2W0,CANADA,,00000-0000,0000,03,3,1000,200709,4,15,000000000,1,01,202506,0,0,02,0,06,0,0,0,C32,
205526017,TOASTMASTERS INTERNATIONAL,% LAUGHING MATTERS,WINNIPEG MANITOBA R2G 3H8,CANADA,,00000-0000,0820,03,9,2000,194505,1,16,059319000,1,01,202312,0,0,02,0,12,0,0,0,,947037 LAUGHING MATTERS
205537750,ACC KEENE FARM INC,,ANJOU QUEBEC H1M-1B3,CANADA,,00000-0000,0000,03,3,1000,200705,1,17,000000000,1,01,202510,0,0,02,0,10,0,0,0,C11,
206652035,RANDOLPH H KNIGHT CHARITABLE FOUNDATION,% MARK THAW,PO BOX 8209,ST THOMAS,VI,00801-1209,0000,03,3,1000,201002,1,04,000000000,2,01,202412,6,1,00,1,12,1993944,1,,T22,
206975076,PRIOR FAMILY FOUNDATION,% GERTRUDE PRIOR,PO BOX 12030,ST THOMAS,VI,00801-5030,0000,03,3,1000,200804,1,04,000000000,2,01,202512,8,4,00,1,12,10625258,410289,,T20,GERTRUDE J PRIOR TTEE
208080321,AMERICAN SCHOOLS INTERNATIONAL INCORPORATED,% MARY WEISS,OXFORD KOSOVO 10000,KOSOVO,,00000-0000,0000,03,3,2000,202404,1,11,000000000,1,01,202206,6,6,01,0,06,2719609,1410030,1410030,B20,
208394751,CHALLENGEAID FOUNDATION,% EUGENE FRANK HODAL,LLANDOVERY WALES SA19 8TE,UNITED KINGDOM,,00000-0000,0000,03,3,1000,200703,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,O50,
208713975,KNIGHTS OF COLUMBUS,% MARTIN,CMR B467 BOX 7925,APO,AE,09096-0000,0188,08,9,1000,000000,0,00,000000000,5,01,202312,0,0,02,0,12,0,0,0,,10292 LIEUTANT GEN TIMOTHY J MAUDE
222514884,INSTITUTE FOR RESEARCH IN CLASSICAL PHILOSOPHY AND SCIENCE INC,,BAYSVILLE ON P0B 1A0,CANADA,,00000-0000,0000,03,3,2000,198407,1,15,124123994,1,01,202512,0,0,02,0,12,0,0,0,,
222530466,ISE CULTURAL FOUNDATION INC,,TOKYO 100-0006,JAPAN,,00000-0000,0000,03,3,2000,198408,1,04,093090000,1,01,202412,2,1,00,1,12,11516,1,,,
223275938,PADMASAMBHAVA BUDDHIST CENTER OF PUERTO RICO,% NESTOR KUILAN,1453 ALFONSO AVE,ALTAMIRA RIO PIEDROS,PR,00921-0000,9243,03,9,7000,199209,1,10,001029123,5,01,,0,0,06,0,12,,,,,
223480547,IGLESIA PENTECOSTAL VIDA Y VERDAD DE LAS ASAMBLEAS DE DIOS,% BARBARA NIEVES,PO BOX 2877,GUAYAMA,PR,00785-2877,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
